bvets motor noise table 0.01
0,0,0,0,0,0,0,0,0,0,0
3.8,0.292308,0.067857,0,0,0,0,0,1,0,0
7.777778,0.598291,0.138889,0,0,0,0,0,0.900556,0,0
7.8,0.6,0.139286,0,0,0,0,0,0.9,0.001946,0
11.2,0.46867,0.2,0,0,0,0,0,0.815,0.299611,0
11.8,0.445494,0.23956,0,0,0,0,0,0.8,0.35214,0
15.555556,0.300429,0.48718,0,0,0,0,0,0,0.680934,0
19.2,0.159657,0.727473,0,0,0,0,0,0,1,0.234286
23.2,0.00515,0.991209,0,0,0,0,0,0,0.664179,0.491429
23.333333,0,1,0.999998,0,0,0,0,0,0.652985,0.5
23.6,0,0,1,0,0,0,0,0,0.630597,0.517143
31.111111,0,0,1,0,0,0,0,0,0,1
34.4,0,0,1,0,0,0,0,0,0,0.788571
35,0,0,1,0.6,0,0,0,0,0,0.75
35.2,0,0,0,0.8,0,0,0,0,0,0.737143
35.4,0,0,0,1,0,0,0,0,0,0.724286
46.666667,0,0,0,1,0,0,0,0,0,0
54.2,0,0,0,1,0,0,0,0,0,0
54.444444,0,0,0,1,0.999998,0,0,0,0,0
54.8,0,0,0,0,0.984762,0.011429,0.004156,0,0,0
77.777778,0,0,0,0,0,0.75,0.272727,0,0,0
85.555556,0,0,0,0,0,1,0.363636,0,0,0
116.666667,0,0,0,0,0,0,0.727273,0,0,0
140,0,0,0,0,0,0,1,0,0,0
