bvets motor noise table 0.01
0,1,1,0.85,0.9,1,0.75,0.5,0.5,0.5,0.5
7.777778,1,1,0.85,0.9,1,0.75,0.5,1.25,0.5,0.5
15.555556,1,1,0.85,0.9,1,0.75,0.5,2,1,0.5
23.333333,1,1,0.85,0.9,1,0.75,0.5,2,1.5,0.875
23.6,1,1,0.85,0.9,1,0.75,0.5,2,1.517143,0.887857
31.111111,1,1,1.065483,0.9,1,0.75,0.5,2,2,1.25
35.8,1,1,1.2,0.9,1,0.75,0.5,2,2,1.476071
36,1,1,1.2,0.9,1,0.75,0.5,2,2,1.485714
46.666667,1,1,1.2,1.10241,1,0.75,0.5,2,2,2
54.444444,1,1,1.2,1.25,1,0.75,0.5,2,2,2
77.777778,1,1,1.2,1.25,1.5,1.21875,0.772727,2,2,2
116.666667,1,1,1.2,1.25,1.5,2,1.227273,2,2,2
140,1,1,1.2,1.25,1.5,2,1.5,2,2,2
