bvets motor noise table 0.01
0,0,0.393701,0.394396,0,0.289157,0
0.195394,0,0.393701,0.396199,0,0.288872,0
5.511811,0,0.383621,0.44523,0,0.281124,0
5.669291,0,0.383323,0.446683,0,0.140563,0
5.826772,0.037483,0.383024,0.448135,0,0,0
6.614173,0.2249,0.381531,0.455397,0,0.000047,0
29.69993,0.222075,0.337762,0.668311,0,0.001429,0
50.708661,0.219505,0.297931,0.843373,0,0.002687,0
52.125984,0.219332,0.295244,0.342169,0,0.002772,0
52.283465,0.219313,0.294945,0.286479,0.859438,0.002781,0
53.070866,0.219216,0.293452,0.008032,0.864773,0.002828,0
140,0.208582,0.128641,0,1.453815,0.008032,0
